ranking;s³owo;ilosc wystapien
1;the;199
2;of;105
3;and;102
4;to;97
5;a;91
6;web;77
7;in;66
8;that;49
9;scraping;46
10;data;42
11;for;39
12;from;37
13;on;37
14;is;34
15;or;33
16;be;30
17;can;25
18;retrieved;24
19;as;22
20;pages;21
21;are;21
22;this;20
23;by;20
24;site;19
25;court;18
26;it;17
27;with;14
28;information;14
29;used;13
30;websites;13
31;access;13
32;which;13
33;an;13
34;computer;13
35;v;13
36;content;12
37;may;12
38;using;12
39;use;12
40;website;12
41;not;12
42;such;12
43;terms;12
44;original;12
45;software;11
46;page;11
47;was;11
48;case;11
49;law;11
50;pdf;11
51;archived;11
52;bots;10
53;also;10
54;united;10
55;human;9
56;have;9
57;some;9
58;district;9
59;qvc;9
60;into;8
61;states;8
62;farechase;8
63;inc;8
64;user;7
65;search;7
66;available;7
67;common;7
68;semantic;7
69;these;7
70;sites;7
71;copyright;7
72;act;7
73;trespass;7
74;ruled;7
75;browser;6
76;specific;6
77;database;6
78;their;6
79;however;6
80;there;6
81;api;6
82;many;6
83;sometimes;6
84;no;6
85;being;6
86;claims;6
87;february;6
88;scraper;5
89;when;5
90;template;5
91;world;5
92;bot;5
93;its;5
94;scrapers;5
95;example;5
96;addresses;5
97;mining;5
98;text;5
99;dom;5
100;vision;5
